"Date","Close","Volume","Change","Ch(%)","Value(cr)","Trade","Open","High","Low"
"1720634400000","38.7","1626645","-1.0999999999999943","-2.763819095477373","6.3020000000000005","947","38.8","39.2","38.7"
"1720548000000","39.8","2842248","-1.2000000000000028","-2.9268292682926895","11.4605","2004","41.3","41.9","39.8"
"1720461600000","41","3737105","3","7.894736842105263","14.631499999999999","3082","38.2","41.5","37.5"
"1720375200000","38","2991782","-0.20000000000000284","-0.5235602094240912","11.314400000000001","2383","38.2","38.5","37.1"
"1720288800000","38.2","3533165","1.6000000000000014","4.371584699453555","13.190100000000001","2749","36.8","38.6","36"
"1720029600000","36.6","2384306","1.5","4.273504273504273","8.5464","2023","35.3","37","34.9"
"1719943200000","35.1","1827239","0.20000000000000284","0.5730659025788047","6.4460999999999995","1709","35.1","35.8","34.8"
"1719856800000","34.9","1625605","1.6000000000000014","4.804804804804809","5.5348","1638","33.3","35.4","32.4"
"1719684000000","33.3","1116896","-1","-2.915451895043732","3.7302","901","33.7","33.8","33.3"
"1719424800000","34.3","1466065","-0.6000000000000014","-1.7191977077363938","5.0673","1610","34.6","35.3","34.2"
"1719338400000","34.9","1535041","1.3999999999999986","4.179104477611936","5.2757","1853","33.7","35.3","32.9"
"1719252000000","33.5","1647542","-0.8999999999999986","-2.6162790697674376","5.5545","1542","33.8","34.6","33.4"
"1719165600000","34.4","643204","-1","-2.824858757062147","2.223","591","35.1","35.2","34.4"
"1719079200000","35.4","1352315","-1","-2.7472527472527473","4.8498","1353","36.4","36.9","35.4"
"1718820000000","36.4","1407841","0.3999999999999986","1.1111111111111072","5.1071","1543","36","36.7","35.7"
"1718733600000","36","1395013","-0.5","-1.36986301369863","4.9825","1233","36.1","36.5","35.5"
"1718215200000","36.5","1726794","-1.1000000000000014","-2.9255319148936207","6.408799999999999","1799","37.7","38.2","36.5"
"1718128800000","37.6","2069776","0.8999999999999986","2.4523160762942737","7.8337","2327","37.6","38.5","37.2"
"1718042400000","36.7","1793819","0","0","6.540699999999999","1990","36.2","37.3","35.7"
"1717956000000","36.7","1011968","-1.0999999999999943","-2.910052910052895","3.7506999999999997","1149","37.6","37.8","36.7"
"1717869600000","37.8","2302828","-0.8000000000000043","-2.072538860103638","8.9256","2487","39.5","39.7","37.6"
"1717610400000","38.6","2302448","0.8999999999999986","2.38726790450928","8.5978","2178","36.7","39.2","36.6"
"1717524000000","37.7","1644116","-1.0999999999999943","-2.835051546391738","6.2323","1493","38","38.6","37.7"
